age,gender,degree,born_US,Family_income,nation_education,nation_race,nation_arms,nation_welfare,Assistance_to_the_poor,Assistance_to_other_countries,social_security,pres16,tax,Immigration,race
65,Female,High School,Yes,NA,About right,Too little,About right,Too little,NA,NA,Too little,Clinton,1,NA,white
60,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,white
NA,NA,Less than high school,NA,Refused,Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,NA,white
NA,Female,High School,No,NA,Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,1,Strongly disagree,black
NA,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,Agree,white
76,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,white
61,Female,Bachelors,No,"Under $10,000",NA,NA,NA,NA,Too much,Too much,About right,Clinton,2,NA,asian
71,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,About right,Clinton,2,NA,asian
75,Male,Graduate,Yes,"$170,000 or over",About right,Too little,About right,About right,NA,NA,About right,Clinton,NA,Neither,white
65,Female,High School,No,"$20,000 ~ $39,999",Too little,About right,About right,About right,NA,NA,About right,Clinton,1,NA,white
56,Female,Associate College,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,white
31,Male,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Disagree,asian
55,Female,Bachelors,Yes,"$170,000 or over",Too much,Too little,Too little,Too much,NA,NA,Too little,Trump,1,NA,white
33,Female,Bachelors,Yes,"Under $10,000",About right,Too little,Too much,About right,NA,NA,Too little,Clinton,1,NA,other
37,Male,Associate College,Yes,"$130,000 ~ $169,999",Too little,Too little,Too little,About right,NA,NA,Too little,Clinton,1,Strongly disagree,white
53,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,white
43,Female,Graduate,No,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Other,2,NA,white
65,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,NA,NA,white
30,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,2,Strongly disagree,asian
52,Female,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too little,About right,Trump,1,Neither,white
34,Male,Graduate,No,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,white
53,Male,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too much,Too little,Too much,NA,NA,About right,Trump,1,NA,white
NA,Female,High School,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,About right,NA,NA,About right,Trump,1,NA,white
62,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,white
62,Female,Less than high school,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Did not vote,1,NA,white
42,Male,High School,Yes,"$90,000 ~ $129,999",Too little,About right,Too much,About right,NA,NA,About right,Clinton,2,Disagree,white
29,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too much,Other,NA,NA,white
53,Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,NA,Disagree,white
51,Female,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,About right,Did not vote,NA,NA,white
24,Female,Bachelors,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,other
51,Male,Graduate,Yes,"$170,000 or over",Too little,About right,About right,About right,NA,NA,About right,Other,1,NA,white
26,Female,High School,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,NA,hispanic
37,Male,Bachelors,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,Disagree,black
30,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,Too much,Too little,Clinton,NA,NA,white
45,Male,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,white
23,Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,NA,NA,white
64,Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,1,NA,white
82,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,Too little,Trump,1,Neither,other
58,Male,Less than high school,No,"$20,000 ~ $39,999",About right,About right,Too much,About right,NA,NA,About right,Clinton,1,NA,white
89,Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,white
78,Male,Bachelors,Yes,"$90,000 ~ $129,999",About right,About right,Too little,Too much,NA,NA,About right,Trump,NA,Agree,white
NA,NA,High School,Yes,NA,NA,NA,NA,NA,About right,Too much,NA,Trump,NA,NA,white
NA,Male,Associate College,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,Disagree,asian
NA,Male,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,2,NA,white
42,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Strongly disagree,white
64,Male,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,white
51,Female,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too little,Too little,Trump,NA,NA,white
NA,Female,Bachelors,Yes,"$20,000 ~ $39,999",About right,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,white
55,Female,High School,No,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,About right,About right,Clinton,NA,NA,hispanic
